,description,R@1,R@5
0,bert: 2b probes_9,0.021988328470195915,0.14020958633557631
1,bert: 2b probes_8,0.0468642688421763,0.2497665197800671
2,bert: 2b probes_3,0.0914905019948788,0.42290835467158927
3,bert: 2b probes_2,0.16053489549216934,0.515011835288513
4,bert: 2b probes_0,0.13604726175589035,0.44783317453700944
5,bert: 2b probes_1,0.13936709740169514,0.4755667043807935
6,bert: 2b probes_5,0.017149506738918994,0.17625151352746182
7,bert: 2b probes_4,0.02361747950534945,0.22598404096945154
8,bert: 2b probes_6,0.003702931777129359,0.10404248297901904
9,bert: 2b probes_7,0.05508818158359634,0.32006577641477596
10,bert: 2c probes_9,0.014118730026399887,0.08346632525457034
11,bert: 2c probes_8,0.006077184938168681,0.06491953492526648
12,bert: 2c probes_3,0.06521740209214157,0.3052030607991425
13,bert: 2c probes_2,0.1612556819309633,0.49846711923618964
14,bert: 2c probes_0,0.13604726175589035,0.44783317453700944
15,bert: 2c probes_1,0.15328286587665496,0.48568203021100065
16,bert: 2c probes_5,0.010658955120188968,0.08945307072391274
17,bert: 2c probes_4,0.036120953174934,0.2582286270072847
18,bert: 2c probes_6,0.0019626233152702515,0.06205102820619703
19,bert: 2c probes_7,0.021436015006252605,0.21388524980646698
20,roberta large: 2b probes_9,0.18354659183389904,0.5259577403283114
21,roberta large: 2b probes_8,0.16322984279163935,0.4663946039024196
22,roberta large: 2b probes_3,0.057155263105659104,0.18038989459894003
23,roberta large: 2b probes_2,0.11398201631632227,0.29659295043569744
24,roberta large: 2b probes_0,0.06539195398876516,0.19806901188987475
25,roberta large: 2b probes_1,0.0962670457928899,0.2641558238551777
26,roberta large: 2b probes_5,0.03347252823597134,0.11465938188530937
27,roberta large: 2b probes_4,0.009722056809384861,0.10028632962146926
28,roberta large: 2b probes_6,0.013136674010996646,0.05318907679787213
29,roberta large: 2b probes_7,0.19067977232577063,0.5561333839496615
30,roberta large: 2c probes_9,0.2095053246392346,0.575949304273606
31,roberta large: 2c probes_8,0.14181739911471047,0.3893520861867048
32,roberta large: 2c probes_3,0.005240030568292343,0.030894072927211736
33,roberta large: 2c probes_2,0.016058774489370566,0.06794596955080491
34,roberta large: 2c probes_0,0.06539195398876516,0.19806901188987475
35,roberta large: 2c probes_1,0.07593838702634034,0.20369486790130809
36,roberta large: 2c probes_5,0.011640266777824091,0.04259860259234999
37,roberta large: 2c probes_4,0.003690773933583438,0.038185305385180335
38,roberta large: 2c probes_6,0.011864318466027512,0.044201701105619405
39,roberta large: 2c probes_7,0.20258751166160505,0.5342405813930408
40,roberta large: examine probe 7a - why the sudden performance jump? probes_7,0.16607750749320155,0.4839212519105182
